job_id,job_title,company,skills,description,location,experience,combined_text
12,data scientist,hexaware technologies,"data science, artificial intelligence, gen ai, generative artificial intelligence, deep learning, machine learning, artificial intelligence, machine",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist. Skills: data science, artificial intelligence, gen ai, generative artificial intelligence, deep learning, machine learning, artificial intelligence, machine. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
13,data scientist,adm,"operations research, sas, simulation, analytical, machine learning, predictive modeling, spss, data mining",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist. Skills: operations research, sas, simulation, analytical, machine learning, predictive modeling, spss, data mining. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
14,data scientist,capgemini,"data manipulation, sql, plsql, machine learning algorithms, statistics, python, data analysis, scikit-learn",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist. Skills: data manipulation, sql, plsql, machine learning algorithms, statistics, python, data analysis, scikit-learn. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
15,data scientist - digital solutions,siemens,"renewable energy, analytical, machine learning, cloud, agile, manager technology, siemens, open source",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist - digital solutions. Skills: renewable energy, analytical, machine learning, cloud, agile, manager technology, siemens, open source. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
16,"data scientist - python, sql- 6+ years - bangalore, chennai, hyderabad",global leader in ai and analytics.,"data science, machine learning, python, presentation skills, consulting, regression, client engagement, random forest",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist - python, sql- 6+ years - bangalore, chennai, hyderabad. Skills: data science, machine learning, python, presentation skills, consulting, regression, client engagement, random forest. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
17,data scientist and project manager,volvo group,"data analysis, spare parts, operational excellence, analytical, construction equipment, project planning, continuous improvement, operations",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist and project manager. Skills: data analysis, spare parts, operational excellence, analytical, construction equipment, project planning, continuous improvement, operations. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
18,data scientist,capgemini,"data manipulation, microsoft azure, sql, predictive modeling, aws, python, natural language processing, sentiment analysis",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist. Skills: data manipulation, microsoft azure, sql, predictive modeling, aws, python, natural language processing, sentiment analysis. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
19,data scientist,fractal analytics,"data analysis, automation, data science, demand forecasting, consulting, machine learning, agile, fmcg",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist. Skills: data analysis, automation, data science, demand forecasting, consulting, machine learning, agile, fmcg. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
20,gen ai - data scientist,tiger analytics,"gen ai, llm, python, data science, artificial intelligence, natural language processing, rag, processing",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"gen ai - data scientist. Skills: gen ai, llm, python, data science, artificial intelligence, natural language processing, rag, processing. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
21,gen ai - data scientist,tiger analytics,"gen ai, llm, python, data science, artificial intelligence, natural language processing, rag, gen",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"gen ai - data scientist. Skills: gen ai, llm, python, data science, artificial intelligence, natural language processing, rag, gen. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
22,data scientist,metlife,"predictive modeling, machine learning, deep learning, data science, statistical modeling, tensorflow, logistic regression, decision tree",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist. Skills: predictive modeling, machine learning, deep learning, data science, statistical modeling, tensorflow, logistic regression, decision tree. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
23,data scientist /aiml engineer-msys technologies,msys technologies,"data science, artificial intelligence, aiml, llm, python, pytorch, langchain, api",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist /aiml engineer-msys technologies. Skills: data science, artificial intelligence, aiml, llm, python, pytorch, langchain, api. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
24,data scientist - customer & marketing,trent limited,"market mix modelling, machine learning, retail analytics, linear regression, customer analytics, predictive modeling, decision tree, logistic regression",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist - customer & marketing. Skills: market mix modelling, machine learning, retail analytics, linear regression, customer analytics, predictive modeling, decision tree, logistic regression. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
25,data scientist/analyst,turing,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, data",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist/analyst. Skills: data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, data. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
26,data scientist/analyst,turing,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, analysis",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist/analyst. Skills: data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, analysis. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
27,data scientist/analyst,turing,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, notebook",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist/analyst. Skills: data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, notebook. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
28,data scientist/analyst,turing,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, intelligence",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist/analyst. Skills: data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, intelligence. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
29,data scientist/analyst,turing,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, science",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist/analyst. Skills: data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, science. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
30,data scientist/analyst,turing,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, data",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist/analyst. Skills: data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, data. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
31,data scientist/analyst,turing,"data scientist/analyst, analysis, data, data analysis",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist/analyst. Skills: data scientist/analyst, analysis, data, data analysis. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
32,data scientist,ericsson,"data management, artificial intelligence, machine learning, cloud, programming, business intelligence, open source, analytics",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist. Skills: data management, artificial intelligence, machine learning, cloud, programming, business intelligence, open source, analytics. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
33,data scientist - fp&a,paypal,"cloud computing, automation, data science, analytical, risk assessment, financial planning, machine learning, operations",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist - fp&a. Skills: cloud computing, automation, data science, analytical, risk assessment, financial planning, machine learning, operations. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
34,data scientist,harman connected services corporation india pvt.,"analytical skills, data science, artificial intelligence, machine learning, agile, natural language processing, high performance computing, consumer goods",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist. Skills: analytical skills, data science, artificial intelligence, machine learning, agile, natural language processing, high performance computing, consumer goods. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
35,data scientist - hyderabad/bangalore - f2f - 22nd march,people staffing solution,"data science, statistical modeling, machine learning, sql, python, predictive modeling, power bi, modeling",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist - hyderabad/bangalore - f2f - 22nd march. Skills: data science, statistical modeling, machine learning, sql, python, predictive modeling, power bi, modeling. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
36,data scientist(aiml),aspire systems,"data mining, java, c++, graphdb, c, natural language processing, couchbase, cassandra",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist(aiml). Skills: data mining, java, c++, graphdb, c, natural language processing, couchbase, cassandra. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
37,data scientist,not specified,"model development, predictive modeling, logistic regression, decision tree, linear regression, statistical modeling, collections, machine learning",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist. Skills: model development, predictive modeling, logistic regression, decision tree, linear regression, statistical modeling, collections, machine learning. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
38,data scientist,tech mahindra,"mongo, lambda architecture, storm, performance tuning, pyspark, hadoop cli, hadoop, kafka",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist. Skills: mongo, lambda architecture, storm, performance tuning, pyspark, hadoop cli, hadoop, kafka. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
39,data scientist with gen ai,zensar,"training, data analysis, usage, machine learning, management, aws, python, gen",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist with gen ai. Skills: training, data analysis, usage, machine learning, management, aws, python, gen. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
40,data scientist,merkle science,"cloud computing, version control, machine learning, cloud, data processing, natural language processing, project delivery, forecasting",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist. Skills: cloud computing, version control, machine learning, cloud, data processing, natural language processing, project delivery, forecasting. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
41,data scientist,global fpo,"ai developer, nlp, artificial intelligence, dl, llm, ocr, ml, development",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist. Skills: ai developer, nlp, artificial intelligence, dl, llm, ocr, ml, development. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
42,data scientist/ai&ml - technical lead,prodapt solutions,"python, data preprocessing, azure, pytorch, scikit-learn, feature engineering, data visualization, aws",role & responsibilities analyse marketing campaign performance and provide actionable ...,mumbai (all areas),6-8 yrs,"data scientist/ai&ml - technical lead. Skills: python, data preprocessing, azure, pytorch, scikit-learn, feature engineering, data visualization, aws. Description: role & responsibilities analyse marketing campaign performance and provide actionable ..."
43,data scientist,colgate-palmolive (india),"logistic regression, neural networks, business analytics, analytical, machine learning, predictive modeling, continuous improvement, forecasting","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"data scientist. Skills: logistic regression, neural networks, business analytics, analytical, machine learning, predictive modeling, continuous improvement, forecasting. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
44,"distinguished, data scientist",walmart,"system architecture, networking, data science, spark, machine learning, enterprise business, data processing, data visualization","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"distinguished, data scientist. Skills: system architecture, networking, data science, spark, machine learning, enterprise business, data processing, data visualization. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
45,data scientist,cotiviti,"data science, machine learning, modeling, predictive modeling, python, advanced analytics, pandas, statistical modeling","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"data scientist. Skills: data science, machine learning, modeling, predictive modeling, python, advanced analytics, pandas, statistical modeling. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
46,data scientist - 3,satsure analytics,"aviation, machine learning, agile, resource management, forecasting, ieee, monitoring, remote sensing","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"data scientist - 3. Skills: aviation, machine learning, agile, resource management, forecasting, ieee, monitoring, remote sensing. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
47,data scientist - ai/ml,cotiviti,"machine learning, tensorflow, r, ai algorithms, logistic regression, statistical modeling, data mining, ml algorithms","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"data scientist - ai/ml. Skills: machine learning, tensorflow, r, ai algorithms, logistic regression, statistical modeling, data mining, ml algorithms. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
48,senior data scientist - artificial intelligence/machine learning,zettamine labs,"data science, tensorflow, prompt engineering, data scientist, artificial intelligence, llm, machine learning, deep learning","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"senior data scientist - artificial intelligence/machine learning. Skills: data science, tensorflow, prompt engineering, data scientist, artificial intelligence, llm, machine learning, deep learning. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
49,data scientist,spring financial,"computer science, customer segmentation, data analysis, project management, underwriting, risk modeling, business intelligence, digital marketing","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"data scientist. Skills: computer science, customer segmentation, data analysis, project management, underwriting, risk modeling, business intelligence, digital marketing. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
50,data scientist,q3 technologies,"data science, gen ai, tensorflow, artificial intelligence, pandas, machine learning, numpy, python","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"data scientist. Skills: data science, gen ai, tensorflow, artificial intelligence, pandas, machine learning, numpy, python. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
51,data scientist/analyst,turing,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, notebook","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"data scientist/analyst. Skills: data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, notebook. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
52,data scientist/analyst,turing,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, data","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"data scientist/analyst. Skills: data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, data. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
53,data scientist/analyst,turing,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, science","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"data scientist/analyst. Skills: data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, science. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
54,data scientist/analyst,turing,"data scientist/analyst, analysis, data, data analysis","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"data scientist/analyst. Skills: data scientist/analyst, analysis, data, data analysis. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
55,data scientist/analyst,turing,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, notebook","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"data scientist/analyst. Skills: data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, notebook. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
56,data scientist/analyst,turing,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, intelligence","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"data scientist/analyst. Skills: data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, intelligence. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
57,data scientist/analyst,turing,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, data","experience with third-party data i.e., syndicated market data, point of sales, etcexper...",mumbai,5-8 yrs,"data scientist/analyst. Skills: data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, data. Description: experience with third-party data i.e., syndicated market data, point of sales, etcexper..."
58,data scientist iii,walmart,"networking, machine learning, data structures, sez, information technology, distribution system, analytics, sql",position summary... ...,bengaluru,2-7 yrs,"data scientist iii. Skills: networking, machine learning, data structures, sez, information technology, distribution system, analytics, sql. Description: position summary... ..."
59,data scientist/analyst,turing,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, notebook",position summary... ...,bengaluru,2-7 yrs,"data scientist/analyst. Skills: data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, notebook. Description: position summary... ..."
60,data scientist/analyst,turing,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, intelligence",position summary... ...,bengaluru,2-7 yrs,"data scientist/analyst. Skills: data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, intelligence. Description: position summary... ..."
61,data scientist/analyst,turing,"data scientist/analyst, analysis, data analysis, data",position summary... ...,bengaluru,2-7 yrs,"data scientist/analyst. Skills: data scientist/analyst, analysis, data analysis, data. Description: position summary... ..."
62,data scientist/analyst,turing,"data scientist/analyst, analysis, data, data analysis",position summary... ...,bengaluru,2-7 yrs,"data scientist/analyst. Skills: data scientist/analyst, analysis, data, data analysis. Description: position summary... ..."
63,data scientist - gen ai,fractal analytics,"data science, manager technology, agile, director, individual contributor, management, artificial intelligence, technology",position summary... ...,bengaluru,2-7 yrs,"data scientist - gen ai. Skills: data science, manager technology, agile, director, individual contributor, management, artificial intelligence, technology. Description: position summary... ..."
64,data scientist,amneal pharmaceuticals,"data science, artificial intelligence, machine learning, data, intelligence, machine, science",position summary... ...,bengaluru,2-7 yrs,"data scientist. Skills: data science, artificial intelligence, machine learning, data, intelligence, machine, science. Description: position summary... ..."
65,data scientist (generative ai),philips,"computer vision, deep learning, diversity and inclusion, machine learning, healthcare, natural language processing, research, open source",position summary... ...,bengaluru,2-7 yrs,"data scientist (generative ai). Skills: computer vision, deep learning, diversity and inclusion, machine learning, healthcare, natural language processing, research, open source. Description: position summary... ..."
66,data scientist,hexaware technologies,"r program, python, sql, data, r, program",position summary... ...,bengaluru,2-7 yrs,"data scientist. Skills: r program, python, sql, data, r, program. Description: position summary... ..."
67,data scientist,ericsson,"computer science, automation, hp data protector, data science, gcp, configuration management, analytical, cloud",position summary... ...,bengaluru,2-7 yrs,"data scientist. Skills: computer science, automation, hp data protector, data science, gcp, configuration management, analytical, cloud. Description: position summary... ..."
68,data scientist,visa,"operations research, business analytics, analytical, predictive modeling, business solutions, financial services, product marketing, sql",position summary... ...,bengaluru,2-7 yrs,"data scientist. Skills: operations research, business analytics, analytical, predictive modeling, business solutions, financial services, product marketing, sql. Description: position summary... ..."
69,data scientist - fp&a,xoom,"cloud computing, automation, data science, analytical, risk assessment, financial planning, machine learning, wellness",position summary... ...,bengaluru,2-7 yrs,"data scientist - fp&a. Skills: cloud computing, automation, data science, analytical, risk assessment, financial planning, machine learning, wellness. Description: position summary... ..."
70,data scientist,valenta bpo solutions,"stakeholder engagement, deep learning, data science, db2, machine learning, agile, data visualization, data mining",position summary... ...,bengaluru,2-7 yrs,"data scientist. Skills: stakeholder engagement, deep learning, data science, db2, machine learning, agile, data visualization, data mining. Description: position summary... ..."
71,data scientist - blr/ hyd/ ggn,genpact,"data science, predictive modeling, decision tree, text analytics, natural language processing, neural networks, text mining, llm",position summary... ...,bengaluru,2-7 yrs,"data scientist - blr/ hyd/ ggn. Skills: data science, predictive modeling, decision tree, text analytics, natural language processing, neural networks, text mining, llm. Description: position summary... ..."
72,data scientist,neal analytics,"data analysis, automation, data science, demand forecasting, consulting, machine learning, agile, fmcg",position summary... ...,bengaluru,2-7 yrs,"data scientist. Skills: data analysis, automation, data science, demand forecasting, consulting, machine learning, agile, fmcg. Description: position summary... ..."
73,data scientist,aqe digital (formerly aqe group),"algorithms, python, data mining, data architecture, machine learning algorithms, data collection, sql, data",position summary... ...,bengaluru,2-7 yrs,"data scientist. Skills: algorithms, python, data mining, data architecture, machine learning algorithms, data collection, sql, data. Description: position summary... ..."
74,data scientist,digitalapicraft,"computer science, telecom, performance tuning, gcp, machine learning, healthcare, natural language processing, data visualization",position summary... ...,bengaluru,2-7 yrs,"data scientist. Skills: computer science, telecom, performance tuning, gcp, machine learning, healthcare, natural language processing, data visualization. Description: position summary... ..."
75,data scientist,team lease digital,"data bricks, python, r, power bi, adls, tableau, machine learning, aws",position summary... ...,bengaluru,2-7 yrs,"data scientist. Skills: data bricks, python, r, power bi, adls, tableau, machine learning, aws. Description: position summary... ..."
76,data scientist - platforms,microland,"root cause analysis, automation engineering, manufacturing process, process control, artificial intelligence, machine learning, software development life cycle, natural language processing","familiarity with industry standards for batch control systems, software development lif...",bengaluru,1-4 yrs,"data scientist - platforms. Skills: root cause analysis, automation engineering, manufacturing process, process control, artificial intelligence, machine learning, software development life cycle, natural language processing. Description: familiarity with industry standards for batch control systems, software development lif..."
77,"data scientist, ai, ml, nlp, deep learning - 4 yrs to 15 yrs",a mnc client of gsn,"python, machine learning, sql, deep learning, nlp, scikit-learn, ai, tensorflow","familiarity with industry standards for batch control systems, software development lif...",bengaluru,1-4 yrs,"data scientist, ai, ml, nlp, deep learning - 4 yrs to 15 yrs. Skills: python, machine learning, sql, deep learning, nlp, scikit-learn, ai, tensorflow. Description: familiarity with industry standards for batch control systems, software development lif..."
78,data scientist,ibm,"algorithms, machine learning, geo, data science, machine learning algorithms, deep learning frameworks, continuous integration, python","familiarity with industry standards for batch control systems, software development lif...",bengaluru,1-4 yrs,"data scientist. Skills: algorithms, machine learning, geo, data science, machine learning algorithms, deep learning frameworks, continuous integration, python. Description: familiarity with industry standards for batch control systems, software development lif..."
79,data scientist - python r expertise,digital mapout solutions,"data science, python, r programming, ai ml, programming, data, r program, ml","familiarity with industry standards for batch control systems, software development lif...",bengaluru,1-4 yrs,"data scientist - python r expertise. Skills: data science, python, r programming, ai ml, programming, data, r program, ml. Description: familiarity with industry standards for batch control systems, software development lif..."
80,ai data scientist,johnson controls,"computer science, soa, gcp, machine learning, deployment, sensors, test cases, jira","familiarity with industry standards for batch control systems, software development lif...",bengaluru,1-4 yrs,"ai data scientist. Skills: computer science, soa, gcp, machine learning, deployment, sensors, test cases, jira. Description: familiarity with industry standards for batch control systems, software development lif..."
81,ai data scientist,johnson controls,"computer science, soa, gcp, machine learning, cloud, deployment, sensors, monitoring","familiarity with industry standards for batch control systems, software development lif...",bengaluru,1-4 yrs,"ai data scientist. Skills: computer science, soa, gcp, machine learning, cloud, deployment, sensors, monitoring. Description: familiarity with industry standards for batch control systems, software development lif..."
82,data scientist,abinbev gcc services,"statistical modeling, ml algorithms, python, sql, communication skills, excel, classification, regression","familiarity with industry standards for batch control systems, software development lif...",bengaluru,1-4 yrs,"data scientist. Skills: statistical modeling, ml algorithms, python, sql, communication skills, excel, classification, regression. Description: familiarity with industry standards for batch control systems, software development lif..."
